timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox
2022-12-12T07:46:17.076Z,dryer ,y,r,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:17.729Z,dryer ,r,r,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:17.891Z,dryer ,y,y,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:18.445Z,dryer ,e,e,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:18.649Z,dryer ,r,r,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:18.782Z,dryer , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:18.979Z,shove ,s,s,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:19.187Z,shove ,h,h,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:19.365Z,shove ,o,o,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:19.699Z,shove ,e,v,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:20.330Z,shove ,d,v,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:20.460Z,shove ,e,v,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:20.651Z,shove , ,v,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:20.781Z,agile ,a,a,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:21.213Z,agile ,g,g,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:21.666Z,agile ,i,i,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:22.313Z,agile ,l,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:22.427Z,agile ,e,e,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:22.646Z,agile , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:24.850Z,beard ,b,b,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:25.011Z,beard ,e,e,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:25.531Z,beard ,a,a,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:26.098Z,beard ,r,r,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:26.234Z,beard ,d,d,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:26.458Z,beard , , ,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:26.907Z,iliac ,i,i,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:27.057Z,iliac ,l,l,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:27.157Z,iliac ,i,i,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:27.702Z,iliac ,a,a,semicolemakdh,3,words,10,wordle,null
2022-12-12T07:46:27.977Z,iliac ,c,c,semicolemakdh,3,words,10,wordle,null
