timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:46:13.538,maple ,a,a,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.127000
2022-12-12 07:46:13.778,maple ,p,p,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.240000
2022-12-12 07:46:14.033,maple ,l,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.255000
2022-12-12 07:46:14.218,maple ,e,e,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.185000
2022-12-12 07:46:14.378,maple , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.160000
2022-12-12 07:46:14.673,locus ,l,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.295000
2022-12-12 07:46:14.882,locus ,o,o,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.209000
2022-12-12 07:46:15.012,locus ,c,c,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.130000
2022-12-12 07:46:15.276,locus ,u,u,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.264000
2022-12-12 07:46:15.378,locus ,s,s,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.102000
2022-12-12 07:46:15.545,locus , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.167000
2022-12-12 07:46:16.082,dryer ,d,d,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.537000
2022-12-12 07:46:16.771,dryer ,p,r,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.689000
2022-12-12 07:46:17.076,dryer ,y,r,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.305000
2022-12-12 07:46:17.729,dryer ,r,r,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.653000
2022-12-12 07:46:17.891,dryer ,y,y,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.162000
2022-12-12 07:46:18.445,dryer ,e,e,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.554000
2022-12-12 07:46:18.649,dryer ,r,r,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.204000
2022-12-12 07:46:18.782,dryer , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.133000
2022-12-12 07:46:18.979,shove ,s,s,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.197000
2022-12-12 07:46:19.187,shove ,h,h,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.208000
2022-12-12 07:46:19.365,shove ,o,o,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.178000
2022-12-12 07:46:19.699,shove ,e,v,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.334000
2022-12-12 07:46:20.330,shove ,d,v,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.631000
2022-12-12 07:46:20.460,shove ,e,v,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.130000
2022-12-12 07:46:20.651,shove , ,v,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.191000
2022-12-12 07:46:20.781,agile ,a,a,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.130000
2022-12-12 07:46:21.213,agile ,g,g,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.432000
2022-12-12 07:46:21.666,agile ,i,i,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.453000
2022-12-12 07:46:22.313,agile ,l,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.647000
2022-12-12 07:46:22.427,agile ,e,e,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.114000
2022-12-12 07:46:22.646,agile , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.219000
2022-12-12 07:46:24.850,beard ,b,b,semicolemakdh,3,words,10,wordle,null,0 days 00:00:02.204000
2022-12-12 07:46:25.011,beard ,e,e,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.161000
2022-12-12 07:46:25.531,beard ,a,a,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.520000
2022-12-12 07:46:26.098,beard ,r,r,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.567000
2022-12-12 07:46:26.234,beard ,d,d,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.136000
2022-12-12 07:46:26.458,beard , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.224000
2022-12-12 07:46:26.907,iliac ,i,i,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.449000
2022-12-12 07:46:27.057,iliac ,l,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.150000
2022-12-12 07:46:27.157,iliac ,i,i,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.100000
2022-12-12 07:46:27.702,iliac ,a,a,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.545000
2022-12-12 07:46:27.977,iliac ,c,c,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.275000
2022-12-12 07:46:28.149,iliac , , ,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.172000
2022-12-12 07:46:28.404,aglow ,a,a,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.255000
2022-12-12 07:46:28.687,aglow ,g,g,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.283000
2022-12-12 07:46:28.977,aglow ,l,l,semicolemakdh,3,words,10,wordle,null,0 days 00:00:00.290000
