,timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cps
181,2022-12-12 07:46:33.662,while,e,e,semicolemakdh,3,words,10,wordle,null,0.203
182,2022-12-12 07:46:41.687,jumbo ,j,j,semicolemakdh,4,words,10,wordle,null,8.025
183,2022-12-12 07:46:41.749,jumbo ,u,u,semicolemakdh,4,words,10,wordle,null,0.062
184,2022-12-12 07:46:42.216,jumbo ,g,m,semicolemakdh,4,words,10,wordle,null,0.467
185,2022-12-12 07:46:43.493,jumbo ,m,m,semicolemakdh,4,words,10,wordle,null,1.277
186,2022-12-12 07:46:43.834,jumbo ,g,b,semicolemakdh,4,words,10,wordle,null,0.341
187,2022-12-12 07:46:43.954,jumbo ,k,b,semicolemakdh,4,words,10,wordle,null,0.12
188,2022-12-12 07:46:44.077,jumbo ,o,b,semicolemakdh,4,words,10,wordle,null,0.123
189,2022-12-12 07:46:44.916,jumbo ,b,b,semicolemakdh,4,words,10,wordle,null,0.839
190,2022-12-12 07:46:45.073,jumbo ,o,o,semicolemakdh,4,words,10,wordle,null,0.157
191,2022-12-12 07:46:45.214,jumbo , , ,semicolemakdh,4,words,10,wordle,null,0.141
192,2022-12-12 07:46:45.483,poise ,y,p,semicolemakdh,4,words,10,wordle,null,0.269
193,2022-12-12 07:46:46.218,poise ,p,p,semicolemakdh,4,words,10,wordle,null,0.735
194,2022-12-12 07:46:46.442,poise ,o,o,semicolemakdh,4,words,10,wordle,null,0.224
195,2022-12-12 07:46:46.618,poise ,u,i,semicolemakdh,4,words,10,wordle,null,0.176
196,2022-12-12 07:46:47.458,poise ,i,i,semicolemakdh,4,words,10,wordle,null,0.84
197,2022-12-12 07:46:47.555,poise ,s,s,semicolemakdh,4,words,10,wordle,null,0.097
198,2022-12-12 07:46:47.735,poise ,e,e,semicolemakdh,4,words,10,wordle,null,0.18
199,2022-12-12 07:46:47.890,poise , , ,semicolemakdh,4,words,10,wordle,null,0.155
200,2022-12-12 07:46:48.333,bully ,b,b,semicolemakdh,4,words,10,wordle,null,0.443
201,2022-12-12 07:46:48.475,bully ,u,u,semicolemakdh,4,words,10,wordle,null,0.142
202,2022-12-12 07:46:48.950,bully ,j,l,semicolemakdh,4,words,10,wordle,null,0.475
203,2022-12-12 07:46:49.123,bully ,j,l,semicolemakdh,4,words,10,wordle,null,0.173
204,2022-12-12 07:46:50.318,bully ,l,l,semicolemakdh,4,words,10,wordle,null,1.195
205,2022-12-12 07:46:50.490,bully ,l,l,semicolemakdh,4,words,10,wordle,null,0.172
206,2022-12-12 07:46:50.627,bully ,y,y,semicolemakdh,4,words,10,wordle,null,0.137
207,2022-12-12 07:46:50.842,bully , , ,semicolemakdh,4,words,10,wordle,null,0.215
208,2022-12-12 07:46:51.290,penal ,p,p,semicolemakdh,4,words,10,wordle,null,0.448
209,2022-12-12 07:46:51.426,penal ,e,e,semicolemakdh,4,words,10,wordle,null,0.136
210,2022-12-12 07:46:51.579,penal ,n,n,semicolemakdh,4,words,10,wordle,null,0.153
211,2022-12-12 07:46:51.755,penal ,a,a,semicolemakdh,4,words,10,wordle,null,0.176
212,2022-12-12 07:46:51.996,penal ,l,l,semicolemakdh,4,words,10,wordle,null,0.241
213,2022-12-12 07:46:52.211,penal , , ,semicolemakdh,4,words,10,wordle,null,0.215
214,2022-12-12 07:46:53.227,blunt ,b,b,semicolemakdh,4,words,10,wordle,null,1.016
215,2022-12-12 07:46:53.502,blunt ,l,l,semicolemakdh,4,words,10,wordle,null,0.275
216,2022-12-12 07:46:53.703,blunt ,u,u,semicolemakdh,4,words,10,wordle,null,0.201
217,2022-12-12 07:46:54.258,blunt ,n,n,semicolemakdh,4,words,10,wordle,null,0.555
218,2022-12-12 07:46:54.420,blunt ,t,t,semicolemakdh,4,words,10,wordle,null,0.162
219,2022-12-12 07:46:54.601,blunt , , ,semicolemakdh,4,words,10,wordle,null,0.181
220,2022-12-12 07:46:54.826,annoy ,a,a,semicolemakdh,4,words,10,wordle,null,0.225
221,2022-12-12 07:46:54.933,annoy ,n,n,semicolemakdh,4,words,10,wordle,null,0.107
222,2022-12-12 07:46:55.126,annoy ,n,n,semicolemakdh,4,words,10,wordle,null,0.193
223,2022-12-12 07:46:55.356,annoy ,y,o,semicolemakdh,4,words,10,wordle,null,0.23
224,2022-12-12 07:46:56.178,annoy ,o,o,semicolemakdh,4,words,10,wordle,null,0.822
225,2022-12-12 07:46:56.292,annoy ,y,y,semicolemakdh,4,words,10,wordle,null,0.114
226,2022-12-12 07:46:56.473,annoy , , ,semicolemakdh,4,words,10,wordle,null,0.181
227,2022-12-12 07:46:57.242,beard ,b,b,semicolemakdh,4,words,10,wordle,null,0.769
228,2022-12-12 07:46:57.377,beard ,e,e,semicolemakdh,4,words,10,wordle,null,0.135
229,2022-12-12 07:46:57.644,beard ,a,a,semicolemakdh,4,words,10,wordle,null,0.267
230,2022-12-12 07:46:58.227,beard ,r,r,semicolemakdh,4,words,10,wordle,null,0.583
231,2022-12-12 07:46:58.362,beard ,d,d,semicolemakdh,4,words,10,wordle,null,0.135
232,2022-12-12 07:46:58.741,beard , , ,semicolemakdh,4,words,10,wordle,null,0.379
233,2022-12-12 07:46:59.796,breed ,b,b,semicolemakdh,4,words,10,wordle,null,1.055
234,2022-12-12 07:46:59.972,breed ,e,r,semicolemakdh,4,words,10,wordle,null,0.176
235,2022-12-12 07:47:00.172,breed ,r,r,semicolemakdh,4,words,10,wordle,null,0.2
236,2022-12-12 07:47:00.892,breed ,r,e,semicolemakdh,4,words,10,wordle,null,0.72
237,2022-12-12 07:47:01.045,breed ,e,e,semicolemakdh,4,words,10,wordle,null,0.153
238,2022-12-12 07:47:01.220,breed ,e,e,semicolemakdh,4,words,10,wordle,null,0.175
239,2022-12-12 07:47:01.515,breed ,d,d,semicolemakdh,4,words,10,wordle,null,0.295
240,2022-12-12 07:47:01.694,breed , , ,semicolemakdh,4,words,10,wordle,null,0.179
241,2022-12-12 07:47:02.122,gaffe ,g,g,semicolemakdh,4,words,10,wordle,null,0.428
242,2022-12-12 07:47:02.204,gaffe ,a,a,semicolemakdh,4,words,10,wordle,null,0.082
243,2022-12-12 07:47:02.613,gaffe ,f,f,semicolemakdh,4,words,10,wordle,null,0.409
244,2022-12-12 07:47:02.788,gaffe ,f,f,semicolemakdh,4,words,10,wordle,null,0.175
245,2022-12-12 07:47:03.019,gaffe ,e,e,semicolemakdh,4,words,10,wordle,null,0.231
246,2022-12-12 07:47:03.198,gaffe , , ,semicolemakdh,4,words,10,wordle,null,0.179
247,2022-12-12 07:47:03.467,lingo,l,l,semicolemakdh,4,words,10,wordle,null,0.269
248,2022-12-12 07:47:03.707,lingo,i,i,semicolemakdh,4,words,10,wordle,null,0.24
249,2022-12-12 07:47:03.848,lingo,n,n,semicolemakdh,4,words,10,wordle,null,0.141
250,2022-12-12 07:47:04.148,lingo,g,g,semicolemakdh,4,words,10,wordle,null,0.3
251,2022-12-12 07:47:04.200,lingo,o,o,semicolemakdh,4,words,10,wordle,null,0.052
252,2022-12-12 07:47:09.444,stern ,s,s,semicolemakdh,5,words,10,wordle,null,5.244
253,2022-12-12 07:47:09.580,stern ,t,t,semicolemakdh,5,words,10,wordle,null,0.136
254,2022-12-12 07:47:09.724,stern ,e,e,semicolemakdh,5,words,10,wordle,null,0.144
255,2022-12-12 07:47:09.858,stern ,s,r,semicolemakdh,5,words,10,wordle,null,0.134
256,2022-12-12 07:47:10.162,stern ,n,r,semicolemakdh,5,words,10,wordle,null,0.304
257,2022-12-12 07:47:10.939,stern ,r,r,semicolemakdh,5,words,10,wordle,null,0.777
258,2022-12-12 07:47:11.092,stern ,n,n,semicolemakdh,5,words,10,wordle,null,0.153
259,2022-12-12 07:47:11.291,stern , , ,semicolemakdh,5,words,10,wordle,null,0.199
260,2022-12-12 07:47:11.454,avail ,a,a,semicolemakdh,5,words,10,wordle,null,0.163
261,2022-12-12 07:47:11.733,avail ,v,v,semicolemakdh,5,words,10,wordle,null,0.279
262,2022-12-12 07:47:11.872,avail ,a,a,semicolemakdh,5,words,10,wordle,null,0.139
263,2022-12-12 07:47:12.325,avail ,i,i,semicolemakdh,5,words,10,wordle,null,0.453
264,2022-12-12 07:47:12.526,avail ,l,l,semicolemakdh,5,words,10,wordle,null,0.201
265,2022-12-12 07:47:12.759,avail , , ,semicolemakdh,5,words,10,wordle,null,0.233
