,activeWord,lastChar,acc
883,offer ,e,0.33333333333333326
884,offer ,r,0.33333333333333326
885,offer , ,0.33333333333333326
886,least ,l,0.5
887,least ,s,0.5
888,least ,e,0.5
889,least ,a,0.5
890,least ,e,0.5
891,least ,a,0.5
892,least ,s,0.5
893,least ,t,0.5
894,least , ,0.5
895,thief ,t,0.0
896,thief ,h,0.0
897,thief ,i,0.0
898,thief ,e,0.0
899,thief ,f,0.0
900,thief , ,0.0
901,credo ,c,0.33333333333333326
902,credo ,r,0.33333333333333326
903,credo ,f,0.33333333333333326
904,credo ,e,0.33333333333333326
905,credo ,e,0.33333333333333326
906,credo ,d,0.33333333333333326
907,credo ,o,0.33333333333333326
908,credo , ,0.33333333333333326
909,crypt,c,0.19999999999999996
910,crypt,r,0.19999999999999996
911,crypt,y,0.19999999999999996
912,crypt,t,0.19999999999999996
913,crypt,p,0.19999999999999996
914,crypt,t,0.19999999999999996
915,skate ,s,0.0
916,skate ,k,0.0
917,skate ,a,0.0
918,skate ,t,0.0
919,skate ,e,0.0
920,skate , ,0.0
921,poise ,p,0.16666666666666674
922,poise ,o,0.16666666666666674
923,poise ,u,0.16666666666666674
924,poise ,i,0.16666666666666674
925,poise ,s,0.16666666666666674
926,poise ,e,0.16666666666666674
927,poise , ,0.16666666666666674
928,horde ,h,0.0
929,horde ,o,0.0
930,horde ,r,0.0
931,horde ,d,0.0
932,horde ,e,0.0
933,horde , ,0.0
934,shape ,s,0.16666666666666674
935,shape ,h,0.16666666666666674
936,shape ,a,0.16666666666666674
937,shape ,p,0.16666666666666674
938,shape ,e,0.16666666666666674
939,shape ,e,0.16666666666666674
940,shape , ,0.16666666666666674
941,bevel ,b,0.0
942,bevel ,e,0.0
943,bevel ,v,0.0
944,bevel ,e,0.0
945,bevel ,l,0.0
946,bevel , ,0.0
947,plunk ,p,0.0
948,plunk ,l,0.0
949,plunk ,u,0.0
950,plunk ,n,0.0
951,plunk ,k,0.0
952,plunk , ,0.0
953,beget ,b,0.0
954,beget ,e,0.0
955,beget ,g,0.0
956,beget ,e,0.0
957,beget ,t,0.0
958,beget , ,0.0
959,loyal ,l,0.0
960,loyal ,o,0.0
961,loyal ,y,0.0
962,loyal ,a,0.0
963,loyal ,l,0.0
964,loyal , ,0.0
965,grope ,g,0.0
966,grope ,r,0.0
967,grope ,o,0.0
968,grope ,p,0.0
969,grope ,e,0.0
970,grope , ,0.0
971,snaky,s,0.3999999999999999
972,snaky,h,0.3999999999999999
973,snaky,a,0.3999999999999999
974,snaky,n,0.3999999999999999
975,snaky,a,0.3999999999999999
976,snaky,k,0.3999999999999999
977,snaky,y,0.3999999999999999
978,drank ,d,0.0
979,drank ,r,0.0
980,drank ,a,0.0
981,drank ,n,0.0
982,drank ,k,0.0
983,drank , ,0.0
984,grown ,g,0.0
985,grown ,r,0.0
986,grown ,o,0.0
987,grown ,w,0.0
988,grown ,n,0.0
989,grown , ,0.0
990,quoth ,q,0.0
