timestamp,activeWord,lastChar,correctChar,source,layout,type,length,language,funbox
2022-12-04T09:51:05.203Z,tell,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:05.384Z,tell,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:05.771Z,since, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:06.323Z,since,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:06.453Z,since,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:07.059Z,since,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:07.221Z,since,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:07.636Z,since,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:12.181Z,it,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:12.308Z,it,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:12.480Z,also, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:12.675Z,also,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:13.060Z,also,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:13.406Z,also,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:13.589Z,also,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:13.806Z,possible, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:15.037Z,possible,p,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:15.484Z,possible,i,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:15.651Z,possible,s,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:16.662Z,possible,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:16.788Z,possible,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:16.979Z,possible,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:17.341Z,possible,u,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:18.515Z,possible,o,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:19.371Z,possible,e,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:20.372Z,possible,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:22.725Z,possible,b,b,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:23.149Z,possible,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:23.526Z,possible,f,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:24.639Z,possible,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:24.811Z,when, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:27.207Z,when,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:51:27.316Z,when,h,h,monkeytype,semicolemak,words,10,english,null
